"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"91","BSE","101","Softwood Foliage","PM25","Crown Fraction Burned","Flaming","8","","Ellen provides","High","0.019","FALSE","Canopy"
"92","BSE","102","Softwood Other","PM25","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","13","","","High","0.00317779100765586","FALSE","Canopy"
"93","BSE","104","Softwood Fine Roots","PM25","Fine roots combusted alongside duff","Smouldering","27","","","High","0.00636436503235618","FALSE","Surface"
"94","BSE","105","Hardwood Foliage","PM25","Crown Fraction Burned","Flaming","35","","Ellen provides","High","0.019","FALSE","Canopy"
"95","BSE","106","Hardwood Other","PM25","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","40","","","High","0.00266099100765586","FALSE","Canopy"
"96","BSE","108","Hardwood Fine Roots","PM25","Fine roots combusted alongside duff","Flaming","54","","","High","0.00695306879784912","FALSE","Surface"
"97","BSE","109","Aboveground Very Fast DOM","PM25","Combusted fraction of litter layer","Flaming","58","","","High","0.01805","FALSE","Surface"
"98","BSE","110","Aboveground Fast DOM","PM25","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","Smouldering","63","","","High","0.0253643650323562","FALSE","Surface"
"99","BSE","111","Medium DOM","PM25","Combusted fraction of CWD","Smouldering","68","","","High","0.00728","FALSE","Surface"
"100","BSE","112","Aboveground Slow DOM","PM25","Combusted Fraction of duff and peat horizons","Smouldering","73","","","High","0.0120922935614767","FALSE","Surface"
"101","BSE","113","Softwood Stem Snag","PM25","Combusted fraction of conifer snags","Flaming","79","","","High","0.01045","FALSE","Canopy"
"102","BSE","114","Softwood Branch Snag","PM25","Portion of conifer branch snags that are combusted","Flaming","85","","","High","0.0171","FALSE","Canopy"
"103","BSE","115","Hardwood Stem Snag","PM25","Combusted fraction of deciduous snags","Flaming","90","","","High","0.01045","FALSE","Canopy"
"104","BSE","116","Hardwood Branch Snag","PM25","Combusted fraction of deciduous snag branches","Flaming","96","","","High","0.0171","FALSE","Canopy"
"105","BSE","117","Black Carbon","PM25","Black carbon combustion fraction","Smouldering","100","","","High","NA","FALSE","Surface"
"106","BSE","118","Softwood Foliage","PM10","Crown Fraction Burned","Flaming","8","","Ellen provides","High","0.022","FALSE","Canopy"
"107","BSE","119","Softwood Other","PM10","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","13","","","High","0.00367954748254889","FALSE","Canopy"
"108","BSE","121","Softwood Fine Roots","PM10","Fine roots combusted alongside duff","Smouldering","27","","","High","0.00763723803882741","FALSE","Surface"
"109","BSE","122","Hardwood Foliage","PM10","Crown Fraction Burned","Flaming","35","","Ellen provides","High","0.022","FALSE","Canopy"
"110","BSE","123","Hardwood Other","PM10","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","40","","","High","0.00308114748254889","FALSE","Canopy"
"111","BSE","125","Hardwood Fine Roots","PM10","Fine roots combusted alongside duff","Flaming","54","","","High","0.00805092176593056","FALSE","Surface"
"112","BSE","126","Aboveground Very Fast DOM","PM10","Combusted fraction of litter layer","Flaming","58","","","High","0.0209","FALSE","Surface"
"113","BSE","127","Aboveground Fast DOM","PM10","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","Smouldering","63","","","High","0.0304372380388274","FALSE","Surface"
"114","BSE","128","Medium DOM","PM10","Combusted fraction of CWD","Smouldering","68","","","High","0.008736","FALSE","Surface"
"115","BSE","129","Aboveground Slow DOM","PM10","Combusted Fraction of duff and peat horizons","Smouldering","73","","","High","0.0145107522737721","FALSE","Surface"
"116","BSE","130","Softwood Stem Snag","PM10","Combusted fraction of conifer snags","Flaming","79","","","High","0.0121","FALSE","Canopy"
"117","BSE","131","Softwood Branch Snag","PM10","Portion of conifer branch snags that are combusted","Flaming","85","","","High","0.0198","FALSE","Canopy"
"118","BSE","132","Hardwood Stem Snag","PM10","Combusted fraction of deciduous snags","Flaming","90","","","High","0.0121","FALSE","Canopy"
"119","BSE","133","Hardwood Branch Snag","PM10","Combusted fraction of deciduous snag branches","Flaming","96","","","High","0.0198","FALSE","Canopy"
"120","BSE","134","Black Carbon","PM10","Black carbon combustion fraction","Smouldering","100","","","High","NA","FALSE","Surface"
"121","BSE","135","Softwood Foliage","NMOG","Crown Fraction Burned","Flaming","8","","Ellen provides","High","0.016","FALSE","Canopy"
"122","BSE","136","Softwood Other","NMOG","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","13","","","High","0.00267603453276283","FALSE","Canopy"
"123","BSE","138","Softwood Fine Roots","NMOG","Fine roots combusted alongside duff","Smouldering","27","","","High","0.00556881940331165","FALSE","Surface"
"124","BSE","139","Hardwood Foliage","NMOG","Crown Fraction Burned","Flaming","35","","Ellen provides","High","0.016","FALSE","Canopy"
"125","BSE","140","Hardwood Other","NMOG","Proportional Combustion sum of branches, stumps, small trees and bark","Flaming","40","","","High","0.00224083453276283","FALSE","Canopy"
"126","BSE","142","Hardwood Fine Roots","NMOG","Fine roots combusted alongside duff","Flaming","54","","","High","0.00585521582976768","FALSE","Surface"
"127","BSE","143","Aboveground Very Fast DOM","NMOG","Combusted fraction of litter layer","Flaming","58","","","High","0.0152","FALSE","Surface"
"128","BSE","144","Aboveground Fast DOM","NMOG","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","Smouldering","63","","","High","0.0221938194033117","FALSE","Surface"
"129","BSE","145","Medium DOM","NMOG","Combusted fraction of CWD","Smouldering","68","","","High","0.00637","FALSE","Surface"
"130","BSE","146","Aboveground Slow DOM","NMOG","Combusted Fraction of duff and peat horizons","Smouldering","73","","","High","0.0105807568662921","FALSE","Surface"
"131","BSE","147","Softwood Stem Snag","NMOG","Combusted fraction of conifer snags","Flaming","79","","","High","0.0088","FALSE","Canopy"
"132","BSE","148","Softwood Branch Snag","NMOG","Portion of conifer branch snags that are combusted","Flaming","85","","","High","0.0144","FALSE","Canopy"
"133","BSE","149","Hardwood Stem Snag","NMOG","Combusted fraction of deciduous snags","Flaming","90","","","High","0.0088","FALSE","Canopy"
"134","BSE","150","Hardwood Branch Snag","NMOG","Combusted fraction of deciduous snag branches","Flaming","96","","","High","0.0144","FALSE","Canopy"
"135","BSE","151","Black Carbon","NMOG","Black carbon combustion fraction","Smouldering","100","","","High","NA","FALSE","Surface"
