EcoBoundaryName,AdminBoundaryName,SPUID,DMID,Name,DMStructureID,DMRow,DMColumn,Proportion,Source,Sink
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,16,16,1,Belowground Fast DOM,Belowground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,17,17,0.888172,Medium DOM,Medium DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,17,26,0.100645,Medium DOM,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,17,27,0.001118,Medium DOM,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,17,28,0.010065,Medium DOM,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,18,18,0.840097,Aboveground Slow DOM,Aboveground Slow DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,18,26,0.143912,Aboveground Slow DOM,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,18,27,0.001599,Aboveground Slow DOM,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,18,28,0.014391,Aboveground Slow DOM,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,19,19,1,Belowground Slow DOM,Belowground Slow DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,20,17,1,Softwood Stem Snag,Medium DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,21,15,1,Softwood Branch Snag,Aboveground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,22,17,1,Hardwood Stem Snag,Medium DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,23,15,1,Hardwood Branch Snag,Aboveground Fast DOM
