Ecozone,FluxID,Source,Sink,ProcessSynonym,Phase,CORefFluxID,Pseudocode,Notes,SeverityClass,Value,InterimValue,SourceSurfaceCanopy
,57,Aboveground Very Fast DOM,CH4,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCH4,,Mod,,TRUE,Surface
,57,Aboveground Very Fast DOM,CH4,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCH4,,High,,TRUE,Surface
,58,Aboveground Very Fast DOM,CO,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO,,Low,,TRUE,Surface
,58,Aboveground Very Fast DOM,CO,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO,,Mod,,TRUE,Surface
,58,Aboveground Very Fast DOM,CO,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO,,High,,TRUE,Surface
,59,Belowground Very Fast DOM,Belowground Very Fast DOM,"Uncombusted Fraction of Dead fine roots in the mineral soil, approximately <5 mm diameter",,,~1,,Low,,TRUE,Surface
,59,Belowground Very Fast DOM,Belowground Very Fast DOM,"Uncombusted Fraction of Dead fine roots in the mineral soil, approximately <5 mm diameter",,,~1,,Mod,,TRUE,Surface
,59,Belowground Very Fast DOM,Belowground Very Fast DOM,"Uncombusted Fraction of Dead fine roots in the mineral soil, approximately <5 mm diameter",,,~1,,High,,TRUE,Surface
,60,Aboveground Fast DOM,Aboveground Fast DOM,"Uncombusted Fine and small woody debris plus dead coarse roots in the forest floor, approximately <75 mm diameter",,,1-[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)],"***Needs renaming, logic good ***Assume all woody fine+small woody debris is combusted, but only fractional combustion of dead coarse roots alongside duff",Low,,TRUE,Surface
,60,Aboveground Fast DOM,Aboveground Fast DOM,"Uncombusted Fine and small woody debris plus dead coarse roots in the forest floor, approximately <75 mm diameter",,,1-[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)],"***Needs renaming, logic good ***Assume all woody fine+small woody debris is combusted, but only fractional combustion of dead coarse roots alongside duff",Mod,,TRUE,Surface
