"","ID","Area_ha","EcoBoundaryName_select","AdminBoundaryName_select","Low_frac","Mod_frac","High_frac","Median_BUI","MCE","CH4_MgC","CO_MgC","CO2_MgC","NMOG_MgC","PM10_MgC","PM25_MgC","SumC_direct_emissions","ER_CO_CO2","ER_CH4_CO2","Prop_surface","CO2e_Mg","X","Y","unit_id","MgC_perha"
"127","522",5179.4541175,"Boreal Shield East","Quebec",0.066,0.554,0.238,36.526,0.908,1280.301,16309.691,102308.773,3592.032,4929.606,4147.571,132567.975,0.159,0.013,0.785,465839.17,-70.6132695085981,50.2922481326834,15,25.5949704336772
"128","521",5456.49383706,"Boreal Shield East","Quebec",0.09,0.581,0.229,37.426,0.908,1414.818,18014.878,112598.244,3967.028,5444.201,4580.066,146019.234,0.16,0.013,0.785,513074.38,-71.1380012757697,49.3444179223055,15,26.7606339089492
"129","476",1507.76376506,"Boreal Shield East","Quebec",0.072,0.549,0.275,36.301,0.908,388.841,4953.802,31088.661,1091.039,1497.314,1259.795,40279.453,0.159,0.013,0.785,141541.467,-70.1978030658567,50.7638938957058,15,26.714697576246
"130","475",13624.2075694,"Boreal Shield East","Quebec",0.051,0.446,0.317,36.781,0.908,3219.608,41021.8,257939.125,9035.399,12399.993,10433.519,334049.445,0.159,0.012,0.785,1173901.006,-70.0274648056323,49.8823534556712,15,24.5188164741615
"131","473",410.413252561,"Boreal Shield East","Quebec",0.066,0.507,0.267,36.832,0.908,99.617,1268.954,7959.879,279.473,383.541,322.695,10314.158,0.159,0.013,0.785,36243.739,-69.9708561494751,49.6467370569911,15,25.13115240709
"132","474",232.734863418,"Boreal Shield East","Quebec",0.064,0.411,0.135,39.414,0.907,41.294,525.454,3271.807,115.692,158.771,133.555,4246.573,0.161,0.013,0.785,14920.614,-69.9172072311158,49.6594568774781,15,18.246398230303
"133","472",11544.6859221,"Boreal Shield East","Quebec",0.056,0.29,0.184,36.373,0.908,1762.893,22455.276,140680.481,4945.282,6786.752,5709.89,182340.574,0.16,0.013,0.785,640720.134,-69.7658126892088,49.5249294544431,15,15.7943295495762
"134","471",408.044387298,"Boreal Shield East","Quebec",0.046,0.242,0.077,43.664,0.907,44.164,561.203,3465.845,123.524,169.515,142.56,4506.812,0.162,0.013,0.785,15833.206,-69.0932301819478,49.7190711112448,15,11.044906241312
"135","470",2060.17853759,"Boreal Shield East","Quebec",0.105,0.198,0.213,38.242,0.907,306.533,3899.856,24188.596,858.525,1178.189,990.965,31422.663,0.161,0.013,0.785,110394.855,-68.6384859950892,49.7265177421679,15,15.2523979969029
"136","519",10122.7300735,"Boreal Shield East","Quebec",0.105,0.333,0.271,38.91,0.907,2086.78,26554.211,165234.587,5846.431,8023.349,6748.971,214494.329,0.161,0.013,0.785,753624.668,-68.6861493963524,49.5571831030473,15,21.1893755382768
"137","2071",157.484026511,"Boreal Shield East","Quebec",0.216,0.544,0.092,,0.935,11.961,166.824,1514.873,37.481,51.491,43.944,1826.574,0.11,0.008,0.761,6441.25,-67.836661511162,50.5181107681347,15,11.5984715432229
"138","469",1695.66801667,"Boreal Shield East","Quebec",0.161,0.375,0.144,36.195,0.907,323.671,4118.054,25464.36,906.464,1243.971,1046.213,33102.735,0.162,0.013,0.785,116286.336,-68.4725643557584,49.5948641652245,15,19.5219433725052
"139","468",644.934955068,"Boreal Shield East","Quebec",0.031,0.457,0.077,24.53,0.909,97.483,1246.316,7963.189,274.691,376.994,317.359,10276.032,0.157,0.012,0.785,36117.017,-66.3575932379709,50.3765879550077,15,15.9334393635348
"140","517",35111.1176632,"Boreal Shield East","Quebec",0.029,0.693,0.123,26.027,0.909,8037.124,102724.472,656048.137,22640.274,31072.071,26156.501,846678.579,0.157,0.012,0.785,2975848.866,-66.026467226406,50.5559091179258,15,24.1142588259845
"141","2045",202.304263803,"Boreal Shield East","Quebec",0.052,0.709,0.096,,0.936,15.979,223.253,2088.644,50.235,69.018,58.965,2506.094,0.107,0.008,0.758,8844.122,-70.8155474891826,49.5503876777587,15,12.3877468170438
"142","488",737.436869144,"Boreal Shield East","Quebec",0.027,0.757,0.073,43.265,0.907,187.809,2388.155,14847.509,525.781,721.554,606.932,19277.74,0.161,0.013,0.785,67735.049,-71.4284145049188,51.5663757768313,15,26.1415462212747
"143","2020",101.98876356,"Boreal Shield East","Quebec",0.075,0.037,0.044,29.158,0.906,4.16,52.932,323.37,11.646,15.982,13.437,421.528,0.164,0.013,0.785,1480.241,-67.6544768279496,49.5458780893177,15,4.13308275623927
"144","520",716.58336352,"Boreal Shield East","Quebec",0.094,0.576,0.225,37.931,0.907,185.117,2356.643,14711.112,518.927,712.154,599.096,19083.049,0.16,0.013,0.785,67051.687,-69.8555469194267,48.4263122457581,15,26.6306056929096
"145","557",15706.3827102,"Boreal Shield East","Quebec",0.075,0.465,0.367,57.856,0.905,4618.003,58506.323,356725.377,12870.958,17662.712,14848.572,465231.944,0.164,0.013,0.785,1634296.884,-76.9976337701006,48.0863748142353,15,29.6205658924808
"146","552",7754.24170499,"Boreal Shield East","Quebec",0.057,0.615,0.117,83.648,0.903,2201.866,27745.323,164061.638,6096.694,8365.933,7027.068,215498.523,0.169,0.013,0.785,756732.619,-76.9219583849235,48.4598239833395,15,27.7910505241696
"147","198",7231.10284788,"Boreal Shield East","Quebec",0.043,0.331,0.534,70.814,0.905,2294.852,29006.433,175031.832,6378.571,8753.072,7356.263,228821.022,0.166,0.013,0.785,803753.382,-79.4403299449218,49.0356552426221,15,31.6440004814875
"148","345",359130.891468,"Boreal Shield East","Quebec",0.028,0.749,0.141,81.121,0.903,117959.279,1487451.398,8843051.69,326913.828,448598.523,376860.289,11600835.007,0.168,0.013,0.785,40740453.163,-76.3904471182141,48.9090471138044,15,32.3025261335217
"149","512",5558.08275894,"Boreal Shield East","Quebec",0.05,0.307,0.463,67.576,0.905,1563.974,19778.951,119638.399,4349.842,5969.154,5016.948,156317.269,0.165,0.013,0.785,549087.741,-76.9203164724019,49.2721597813044,15,28.1243147645775
"150","577",1530.05849238,"Boreal Shield East","Quebec",0.149,0.152,0.591,114.91,0.901,551.781,6924.847,40011.725,1520.327,2086.109,1751.138,52845.928,0.173,0.014,0.785,185519.496,-79.4327974933344,49.8940437701329,15,34.5385018044626
"151","343",105048.693725,"Boreal Shield East","Quebec",0.019,0.66,0.256,109.136,0.902,39032.088,490358.961,2857068.486,107689.71,147768.328,124068.737,3765986.309,0.172,0.014,0.785,13222653.824,-76.8997499700821,49.547991403516,15,35.8499108885516
"152","567",51427.3058198,"Boreal Shield East","Quebec",0.402,0.182,0.284,117.224,0.898,17209.086,215394.669,1212747.281,47247.258,64827.077,54382.327,1611807.697,0.178,0.014,0.785,5655552.41,-78.2085202462662,50.2818924889074,15,31.3414765037028
"153","342",107805.820956,"Boreal Shield East","Quebec",0.324,0.177,0.374,96.958,0.9,34802.069,436943.598,2510943.564,95913.786,131606.523,110460.958,3320670.499,0.174,0.014,0.785,11655055.572,-76.1604491709921,50.7981522953149,15,30.8023302411036
