NFIREID,Unchanged to very low,Low,Moderate,High,Post-fire havest,NoData
288,7.2,13.41,8.37,10.26,0,0
289,0,0.18,0.54,21.42,0,0
290,9.99,0.27,4.14,48.69,0,0.36
291,14.85,1.53,5.58,124.65,0,0.18
292,10.98,1.35,15.03,67.68,0,0.18
293,14.49,10.17,20.97,44.19,0,0.09
294,4.77,4.86,9.72,14.67,0,0.09
295,21.06,0.36,26.64,36.36,0,0
296,8.82,12.78,12.87,32.94,0,0.27
297,0.9,1.89,5.13,25.11,0,0
298,32.4,16.92,11.16,76.23,0,0.27
299,32.58,16.02,14.67,76.05,0,0.09
300,5.76,4.41,1.98,8.64,0,0.27
302,20.79,22.59,12.6,5.31,0,0.18
303,13.14,33.12,30.6,7.02,0,0.09
306,0.27,0.36,0.54,16.83,0,0.09
307,13.5,6.3,24.3,75.69,0,0
308,7.83,3.51,1.62,45.27,0,0.09
309,46.89,39.87,5.76,26.91,0,0.09
310,65188.71,4943.79,147766.77,861161.13,0,1.44
311,4013.64,4728.6,10211.31,40871.07,0,487.8
312,18255.24,29599.38,65775.69,23795.46,0,23.58
313,150646.68,80474.04,121003.74,89744.94,0,0
314,7061.67,10215,19684.98,28401.75,0,0
315,406.62,532.71,458.91,484.83,0,0.09
316,765.09,634.23,851.76,1457.82,0,0.45
317,43532.19,12955.23,235257.75,52299.72,16.38,0
318,8570.07,5313.87,2750.4,90958.95,0,68.94
319,3816.81,2592.54,4475.16,1831.05,0,0.18
320,373.59,64.08,602.73,1802.88,0,0.09
321,15704.64,56277.63,75780.63,284644.8,0,0
322,1938.6,2653.56,7130.52,2607.3,0,0.09
323,4107.96,331.74,16906.86,165398.31,0,0
324,1086.39,705.06,1743.84,7248.87,0,0.18
325,490.77,579.51,662.13,4129.2,0,0.36
326,6724.98,10950.84,14167.44,17821.98,0,0.09
327,196.56,202.41,282.24,1562.49,0,0.18
328,4560.93,976.14,5529.15,39928.68,0,0
329,2361.33,532.98,3386.7,49072.05,0,0
330,1336.23,2000.88,4002.3,7952.49,0,0.18
331,16603.74,35187.03,70867.62,16224.57,0,0.09
332,92.88,19.62,12.96,145.35,0,0.09
333,221.22,388.71,465.21,638.37,0,0
334,279.54,523.26,677.7,747,0,0.36
335,533.52,941.58,1489.14,3316.86,0,0.18
336,10259.73,453.42,6546.51,66167.01,0,0.18
337,1381.14,78.21,612.27,15195.87,0,0.09
338,227.07,298.17,613.35,2341.35,0,0.09
