Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
55.433055556119,-101.720000003698,"565",2023,1149,Agency,Aerial survey,Buffered points,Natural,,,2023/07/21,,2023/07/23,0.0995003797,0.13680457535,true,MB,,,"20240530",2023_1149,,,"22"
55.4820645268372,-101.606194801937,"566",2023,100,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/16,2023/07/25,2023/06/16,,2023/08/15,10278.4470514,10278.4470514,,MB,,,"20240530",2023_100,231.061501,60.5075,"22"
54.6652777772449,-101.570555552278,"567",2023,1164,Agency,Aerial survey,Buffered points,Natural,,,2023/09/15,,2023/09/26,0.09950557363,0.136811441,true,MB,,,"20240530",2023_1164,,,"22"
54.6705555591824,-100.701111116048,"568",2023,1152,Agency,Aerial survey,Buffered points,Natural,,,2023/07/23,,2023/07/26,0.09954331017,0.13686132305,true,MB,,,"20240530",2023_1152,,,"22"
55.040277778337,-100.565833332815,"569",2023,1146,Agency,Aerial survey,Buffered points,Natural,,,2023/07/12,,2023/07/16,0.4977412707,0.6431330012,true,MB,,,"20240530",2023_1146,,,"22"
56.8315942242276,-100.815022224529,"570",2023,146,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/09/12,2023/09/13,2023/08/09,,2023/09/17,683.168204202,683.168204202,,MB,,,"20240530",2023_146,470.81601,80.971001,"22"
56.7194444453561,-100.521944448127,"571",2023,1100,Agency,Aerial survey,Buffered points,Natural,,,2023/07/01,,2023/07/15,0.19910305153,0.26651984316,true,MB,,,"20240530",2023_1100,,,"22"
57.0479849550521,-100.493651480502,"572",2023,135,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/18,2023/09/23,2023/06/18,,2023/09/08,10360.2942129,10360.2942129,,MB,,,"20240530",2023_135,204.617996,55.040001,"22"
55.0052777800651,-100.00944444482,"573",2023,1166,Agency,Aerial survey,Buffered points,Natural,,,2023/09/21,,2023/09/26,0.19912506457,0.26654817279,true,MB,,,"20240530",2023_1166,,,"22"
56.4691666678051,-99.9075000022638,"574",2023,1092,Agency,Aerial survey,Buffered points,Human,,,2023/06/15,,2023/06/19,0.2986952464,0.39362524897,true,MB,,,"20240530",2023_1092,,,"22"
