"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"104","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"105","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"106","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"107","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"108","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"109","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"110","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"111","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.9","TRUE","Canopy"
"112","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"113","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.76","TRUE","Canopy"
"114","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"115","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.9","TRUE","Canopy"
"116","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.72","TRUE","Canopy"
